category_large,data_id,name,price
SNACK,255,CJ 쁘띠첼 구미젤리복숭아 50G,1000
SNACK,256,CJ 쁘띠첼 구미젤리레몬 50G,1000
SNACK,257,CJ 쁘띠첼 워터젤리오렌지 130ML,1000
SNACK,258,CJ 비비고칩스위트콘 20G,1000
SNACK,259,CJ푸드)비비고칩포테이토40G,1000
SNACK,260,CJ제일제당)초코칩쿠키믹스290G,1000
HMR,261,CJ밥이랑야채랑27G,1000
HMR,262,CJ햇반컵반설렁탕밥253g,1000
HMR,263,CJ 비비고 스팸 부대찌개 460G,1000
HMR,264,CJ 제일안주 불돼지껍데기 160G,1000
HMR,265,CJ 비비고 새우계란죽 450G,1000
HMR,266,CJ 햇반컵반 철판제육덮밥 256G,1000
HMR,267,CJ 햇반컵반 스팸마요덮밥 219G,1000
HMR,268,CJ 햇반컵반 강된장보리비빔밥 280G,1000
HMR,269,CJ 비비고 소고기미역국 500G,1000
HMR,270,CJ 비비고 전복미역국 500G,1000
HMR,271,CJ 비비고 감자탕 460G,1000
HMR,272,CJ 비비고 불낙죽 450G,1000
HMR,273,CJ 비비고 차돌된장찌개 460G,1000
HMR,274,CJ 맥스봉체다치즈어랏 400G,1000
HMR,275,CJ 쁘띠첼워터젤리사과 130ML,1000
HMR,276,CJ 쁘띠첼워터젤리포도 130ML,1000
HMR,277,CJ)햇반컵반중화마파두부덮밥270G,1000
HMR,278,CJ햇반컵반낙지콩나물비빔밥216g,1000
HMR,279,CJ 비비고 추어탕 460G,1000
HMR,280,CJ 비비고 동지팥죽 450G,1000
HMR,281,CJ 비비고 녹두닭죽 450G,1000
HMR,282,CJ 햇반컵반 미역국밥 167G,1000
HMR,283,CJ 햇반컵반 사골곰탕국밥 166G,1000
HMR,284,CJ 햇반컵반 콩나물해장국밥 270G,1000
HMR,285,CJ 햇반컵반 황태국밥 170G,1000
HMR,286,CJ 햇반컵반 직화불고기덮밥 257G,1000
HMR,287,CJ 햇반컵반 치킨커리덮밥 278G,1000
HMR,288,CJ 햇반컵반 고추장나물현미비빔밥 229G,1000
HMR,289,CJ 햇반컵반 볶은김치덮밥 247G,1000
HMR,290,CJ 비비고 육개장 500G,1000
HMR,291,CJ 제일안주 소양불막창 170G,1000
HMR,292,CJ 다담 냉이된장찌개양념 140G,1000
HMR,293,CJ 다담 바지락순두부찌개양념 140G,1000
HMR,294,CJ 백설건강발효현미식초 500ML,1000
HMR,295,CJ 사골애처음부터육수가쓰오 525ML,1000
HMR,296,CJ 사골애처음부터육수멸치다시마 525ML,1000
HMR,297,CJ밸런스밀귀리50G,1000
HMR,298,CJ햇반컵반버섯곤드레비빔밥189g,1000
HMR,299,CJ제일제당)김치전컵전210G,1000
HMR,300,CJ제일제당)비비고소고기무국500G,1000
HMR,301,CJ제일제당)비비고동태탕460G,1000
HMR,302,CJ제일제당)비비고차돌육개장500G,1000
HMR,303,CJ햇반컵반닭곰탕밥261g,1000
HMR,304,CJ제일제당)비비고돼지고기김치찌개460G,1000
HMR,305,CJ제일제당)비비고콩나물황태국500G,1000
HMR,306,CJ제일제당)비비고알탕440G,1000
HMR,307,CJ제일제당)비비고전북죽450G,1000
HMR,308,CJ햇반컵반육개장국밥,1000
HMR,309,CJ초코케익믹스300G,1000
HMR,310,CJ비비고소고기죽450G,1000
HMR,311,CJ비비고진국설렁탕,1000
HMR,312,CJ비비고전복미역죽,1000
HMR,313,CJ)비비고통단팥죽280G,1000
HMR,314,CJ)비비고누룽지닭백숙죽280G,1000
HMR,315,CJ비비고통단팥죽450G,1000
HMR,316,CJ비비고순댓국460G,1000
HMR,317,CJ다담떡볶이양념,1000
HMR,318,CJ햇반컵반순두부찌개국밥173G,1000
HMR,319,CJ햇반컵반김치날치알밥188g,1000
HMR,320,CJ햇반컵반버터장조림비빔밥216g,1000
HMR,321,CJ햇반컵반직화볶음짜장덮밥280G,1000
SAUCE,322,CJ 백설맛술로즈마리 500ML,1000
SAUCE,323,CJ 다담 마파두부양념 150G,1000
SAUCE,324,CJ 다담매운낙지볶음양념,1000
SAUCE,325,CJ 다담강된장찌개양념130G,1000
SAUCE,326,CJ 다담고깃집된장찌개양념130G,1000
SAUCE,327,CJ 하선정 서해안까나리액젓 1KG,1000
SAUCE,328,CJ 하선정 멸치액젓 1KG,1000
SAUCE,329,CJ백설 로제파스타소스180G,1000
SAUCE,330,CJ백설 토마토파스타소스180G,1000
SAUCE,331,CJ백설 치즈크림파스타소스140G,1000
SAUCE,332,CJ 프락토올리고당,1000
SAUCE,333,CJ 백설맛술생강 500ML,1000
SAUCE,334,CJ제일제당)마카다미아&캐슈넛드레싱105G,1000
SAUCE,335,CJ제일제당)참기름고소함가득430ML,1000
SAUCE,336,CJ제일제당)진한참기름500ML,1000
SAUCE,337,CJ제일제당)명품집된장450G,1000
SAUCE,338,CJ갈색설탕1KG,1000
SAUCE,339,CJ밥이랑가쓰오김자반18G,1000
SAUCE,340,CJ요리올리고당700G,1000
SAUCE,341,CJ 백설뚝배기불고기양념 150G,1000
SAUCE,342,CJ)다시다쇠고기12T96G,1000
SAUCE,343,CJ 백설남해바다굴소스 500G,1000
SAUCE,344,CJ다시다쇠고기100G,1000
SAUCE,345,CJ 백설맛술로즈마리 800ML,1000
HMR,346,CJ 백설자연발효파인애플식초 500ML,1000
HMR,347,CJ다시다골드쇠고기250G,1000
HMR,348,CJ 현미식초,1000
HMR,349,CJ 바삭한요리유,1000
HMR,350,CJ백설100%통들깨들기름,1000
HMR,351,CJ 마늘생강기름,1000
HMR,352,다시다국내산멸치골드100G,1000
DRINKS,353,CJ)새싹보리410ML,1000
DRINKS,354,CJ컨디션헛개100ML,1000
